Order ID,Order Date,Ship Date,Customer Name,Customer ID,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1013,24-02-2025,02-03-2025,Nicolas Larson,CUST335,Home Office,PROD2157,Rice Bag,Grocery,East,Nevada,South Gregoryport,2,2912,5,5532.8,3489.07,2043.73,Net Banking,Pending,"Hall, Hess and Wiley",pjohnson@lester.com,16,No,0
ORD1014,15-03-2024,16-03-2024,Lisa Ramsey,CUST235,Home Office,PROD5563,mouse,Electronics,South,Arizona,East Joelview,6,4790,10,25866,20326.5,5539.5,Cash,Delivered,Hall Ltd,erika61@santiago.com,21,No,0
ORD1015,21-05-2025,28-05-2025,Jacob Bauer,CUST949,Consumer,PROD8662,Sugar,Grocery,North,Rhode Island,East Julie,2,4534,0,9068,5506.05,3561.95,Cash,Returned,"Lane, Parks and Miller",whorton@walker.org,11,No,0
ORD1016,22-10-2024,25-10-2024,Derek Kim,CUST281,Consumer,PROD1725,Rice Bag,Grocery,North,North Carolina,North Chelseaville,6,4251,10,22955.4,14292.1,8663.3,Cash,Returned,Gordon Group,ichurch@wood-estrada.org,10,No,0
ORD1017,25-01-2024,31-01-2024,Daniel Powell,CUST343,Home Office,PROD2332,Dining Table,Furniture,North,Montana,North Steveville,3,4101,10,11072.7,7987.02,3085.68,Cash,Returned,White Group,lucasheather@stephens.info,40,No,0
ORD1018,06-12-2024,08-12-2024,Christopher Thompson,CUST673,Consumer,PROD4298,Dining Table,Furniture,North,Missouri,South Melissaville,9,2249,20,16192.8,11890.41,4302.39,Cash,Returned,Richardson Ltd,shellylewis@perry.biz,7,Yes,43
ORD1019,07-07-2025,14-07-2025,Jason Wade,CUST644,Corporate,PROD6041,Juice Pack,Grocery,West,Kentucky,Gabriellebury,7,1409,10,8876.7,7153.89,1722.81,Credit Card,Pending,"Hall, Torres and White",keithsnyder@carpenter.com,40,No,0
ORD1020,12-11-2025,16-11-2025,Charles Wu,CUST613,Corporate,PROD7021,File Folder,Office Supplies,North,Florida,West Derrick,9,4292,10,34765.2,24799.02,9966.18,UPI,Pending,Baldwin Inc,kevinlowe@cohen-brown.com,50,No,0
ORD1021,18-08-2024,24-08-2024,Joshua Flores,CUST635,Home Office,PROD4874,office chair,Furniture,West,California,Jeanbury,8,2358,20,15091.2,9369.25,5721.95,Cash,Delivered,Evans PLC,robert26@weiss.com,14,No,0
ORD1022,31-10-2024,01-11-2024,Terri Day,CUST368,Corporate,PROD4645,mouse,Electronics,West,Illinois,Robertshaven,7,682,5,4535.3,3203.79,1331.51,Net Banking,Delivered,"Coleman, Taylor and Roberts",norrisjeffery@lee.com,8,Yes,34
ORD1023,09-02-2025,12-02-2025,Christopher Ryan,CUST524,Consumer,PROD6914,Dining Table,Furniture,West,Washington,Lake Nicolebury,4,1969,10,7088.4,4917.3,2171.1,Net Banking,Cancelled,Johnson-Boyd,melanie45@sharp.com,12,No,0
ORD1024,01-12-2024,07-12-2024,Robert Perry,CUST861,Corporate,PROD9052,File Folder,Office Supplies,West,Arizona,Portertown,7,1502,15,8936.9,6410.49,2526.41,Net Banking,Returned,Welch Inc,zmiller@mosley-walter.com,22,No,0
ORD1025,11-09-2025,12-09-2025,Lynn Johnson,CUST910,Consumer,PROD2928,keyboard,Electronics,East,New Jersey,Stevenfurt,8,259,10,1864.8,1416.39,448.41,Net Banking,Cancelled,Johnson and Sons,johnreynolds@brown.biz,45,No,0
ORD1026,10-10-2025,13-10-2025,Kayla Mosley,CUST752,Home Office,PROD5518,Sugar,Grocery,South,Virginia,Adamburgh,2,1410,15,2397,2133.03,263.97,Credit Card,Pending,Miller-Mcdonald,thomas02@barker.net,44,No,0
ORD1027,16-08-2025,17-08-2025,Chase Mayo,CUST440,Home Office,PROD2097,Headphones,Electronics,North,Massachusetts,Lake Robinborough,5,4250,5,20187.5,14272.69,5914.81,Credit Card,Delivered,Clements Inc,annjacobs@brown-gates.org,31,No,0
ORD1028,01-02-2024,02-02-2024,Daniel Frank,CUST119,Consumer,PROD8365,Headphones,Electronics,East,Connecticut,Troyburgh,5,4233,0,21165,14642.51,6522.49,Net Banking,Returned,"Aguilar, Ballard and Scott",jennifer73@ortega-drake.com,23,No,0
ORD1029,23-11-2023,26-11-2023,Joshua Branch,CUST859,Home Office,PROD1668,stapler,Office Supplies,South,West Virginia,Wallsview,1,4537,15,3856.45,2494.54,1361.91,UPI,Cancelled,Snyder-Davis,ofarley@phillips.com,19,No,0
ORD1030,11-02-2024,14-02-2024,Ashley Thomas,CUST808,Corporate,PROD2947,Sugar,Grocery,South,Tennessee,Christopherchester,4,1125,15,3825,2749,1076,Credit Card,Pending,Mitchell-Malone,tsanchez@cruz.com,21,No,0
ORD1031,18-06-2024,21-06-2024,Mr. Phillip Lopez,CUST897,Home Office,PROD1023,Bookshelf,Furniture,North,Rhode Island,Dennisville,5,4086,15,17365.5,12742.44,4623.06,Cash,Pending,Kirby-Williams,leahsmith@hughes.com,29,No,0
ORD1032,02-06-2024,06-06-2024,Melissa Nelson,CUST204,Home Office,PROD3095,Headphones,Electronics,North,Arkansas,East Julie,5,3175,0,15875,10398.94,5476.06,Credit Card,Delivered,Mcpherson Inc,jenniferlee@cruz-romero.com,24,No,0
ORD1033,01-12-2024,06-12-2024,Rebecca Williams,CUST663,Corporate,PROD3954,calculator,Office Supplies,North,Colorado,Christensenshire,4,1358,5,5160.4,4516.96,643.44,UPI,Delivered,"Carter, Dunn and Martin",brandisimmons@gibson.info,6,Yes,71
ORD1034,21-06-2024,24-06-2024,Sharon Ball,CUST611,Corporate,PROD3312,laptop,Electronics,West,Wyoming,Michaelland,1,3429,5,3257.55,2922.41,335.14,UPI,Cancelled,Webster-Griffin,salaserik@norris.org,32,No,0
ORD1035,02-06-2025,06-06-2025,Michael Wilson,CUST622,Home Office,PROD6644,Cooking Oil,Grocery,North,Iowa,New Carolyn,9,3761,10,30464.1,21151.82,9312.28,UPI,Delivered,"James, Mckenzie and Smith",nicholas07@smith.com,38,No,0
ORD1036,01-04-2025,06-04-2025,Jennifer Shannon,CUST812,Corporate,PROD4464,Headphones,Electronics,East,Connecticut,West Emilyburgh,5,1187,10,5341.5,4738.18,603.32,Credit Card,Returned,Lopez-Brennan,jacquelineblevins@williams.com,2,Yes,29
ORD1037,24-02-2025,28-02-2025,Peter Holmes,CUST647,Corporate,PROD2628,Sofa,Furniture,West,Idaho,Torreshaven,8,980,15,6664,4255.4,2408.6,Cash,Returned,Vaughn Ltd,nmejia@ryan-gomez.com,1,Yes,59
ORD1038,08-02-2024,15-02-2024,Dr. Laura Brown,CUST741,Home Office,PROD2702,stapler,Office Supplies,East,Indiana,Gonzalezport,10,475,0,4750,3858.47,891.53,Cash,Cancelled,Martinez-Baker,zachary82@villanueva.com,11,No,0
ORD1039,08-03-2024,10-03-2024,Kurt Foster,CUST812,Home Office,PROD5243,Study Table,Furniture,North,Ohio,Cindyshire,8,123,0,984,644.71,339.29,UPI,Cancelled,Williams-Young,douglasanthony@parks.biz,42,No,0
ORD1040,26-12-2024,01-01-2025,Michael Lewis,CUST905,Corporate,PROD4431,Sugar,Grocery,North,Massachusetts,Lake Joshua,9,411,20,2959.2,2064.91,894.29,Net Banking,Pending,Hartman-Newman,myoung@richardson.info,38,No,0
ORD1041,22-05-2024,27-05-2024,Megan Baxter,CUST901,Consumer,PROD8646,Sugar,Grocery,East,Illinois,North Jenniferbury,6,1560,0,9360,7391.78,1968.22,Cash,Delivered,Williams LLC,vherrera@duran-frye.com,49,No,0
ORD1042,04-10-2024,08-10-2024,Sean Wilson,CUST905,Corporate,PROD8337,calculator,Office Supplies,East,Montana,Kristinafurt,9,2154,5,18416.7,12584.5,5832.2,Cash,Returned,Smith-Ferguson,robert66@zimmerman-thomas.net,13,No,0
ORD1043,07-03-2024,09-03-2024,Valerie Ruiz,CUST771,Consumer,PROD1732,Cooking Oil,Grocery,West,Tennessee,South Stephanie,2,425,15,722.5,454.63,267.87,UPI,Cancelled,Mccullough Inc,bryan50@stewart-russo.com,17,No,0
ORD1044,06-05-2024,12-05-2024,Michael Solomon,CUST551,Corporate,PROD2923,pen,Office Supplies,South,Nebraska,Lake Diana,1,2423,20,1938.4,1704.91,233.49,Credit Card,Pending,Johnson Ltd,nathancooper@mcguire.org,8,Yes,59
ORD1045,31-03-2025,07-04-2025,Blake Pena,CUST207,Home Office,PROD4392,Dining Table,Furniture,North,Illinois,Smithmouth,2,2301,20,3681.6,2463.39,1218.21,Cash,Pending,Carlson-Harrell,charles97@wall.net,2,Yes,49
ORD1046,24-09-2025,27-09-2025,Angie Alexander,CUST526,Corporate,PROD6955,pen,Office Supplies,North,New Jersey,Pollardhaven,2,1043,10,1877.4,1376.01,501.39,Credit Card,Returned,"Smith, Wood and Gonzalez",wking@mcdaniel.org,49,No,0
ORD1047,07-04-2024,14-04-2024,Sarah Wilson,CUST841,Home Office,PROD4456,stapler,Office Supplies,East,New York,South Mike,4,2815,20,9008,6657.14,2350.86,Net Banking,Returned,"Jackson, Griffith and Oconnor",millerjerry@robinson-white.com,33,No,0
ORD1048,24-10-2025,31-10-2025,Anne Gomez,CUST702,Corporate,PROD5974,monitor,Electronics,South,Hawaii,Daviston,8,4984,15,33891.2,23408.15,10483.05,Credit Card,Cancelled,"Gonzalez, Oconnor and Shelton",jennifer63@hahn.com,16,No,0
ORD1049,30-12-2024,04-01-2025,Kevin Pitts,CUST767,Corporate,PROD3600,Sofa,Furniture,West,Ohio,Laurieville,9,1499,20,10792.8,7685.67,3107.13,Net Banking,Returned,Pierce and Sons,rlong@carson.com,1,Yes,40
ORD1050,23-09-2025,29-09-2025,Dustin Mccall,CUST203,Home Office,PROD3336,Cooking Oil,Grocery,North,Idaho,Tylerhaven,6,4784,5,27268.8,20505.29,6763.51,UPI,Returned,Ferguson-Dixon,amy61@powell.com,5,Yes,41
ORD1051,07-10-2024,14-10-2024,Mike Perkins,CUST416,Corporate,PROD3142,File Folder,Office Supplies,South,Mississippi,North Shirley,8,130,5,988,767.07,220.93,UPI,Pending,"Sutton, Mullins and Johnson",hshaw@cruz.com,47,No,0
ORD1052,10-01-2024,12-01-2024,Leslie Eaton,CUST827,Consumer,PROD2861,Headphones,Electronics,South,Vermont,Melissaside,4,2686,5,10206.8,8500.99,1705.81,UPI,Delivered,Owen Inc,fergusonlisa@rivera.info,16,No,0
ORD1053,05-12-2023,07-12-2023,Stacie Taylor,CUST812,Consumer,PROD5536,Snacks,Grocery,South,Delaware,New Isabella,3,4988,15,12719.4,9500.64,3218.76,Net Banking,Cancelled,"Whitaker, Clay and Francis",robinlester@wang.com,1,Yes,90
ORD1054,21-11-2023,28-11-2023,Marilyn Smith,CUST801,Consumer,PROD8407,Snacks,Grocery,South,Virginia,Adamton,7,1174,10,7396.2,4970.68,2425.52,Credit Card,Returned,Brown and Sons,aaron75@abbott-richardson.info,0,Yes,45
ORD1055,12-08-2025,19-08-2025,Brian Johnson,CUST600,Corporate,PROD8618,mouse,Electronics,West,South Dakota,Ariasmouth,3,4098,15,10449.9,8162.63,2287.27,Net Banking,Delivered,"Brown, Valentine and Tran",jessicalindsey@chan.info,23,No,0
ORD1056,24-06-2024,28-06-2024,Lauren Rhodes,CUST328,Home Office,PROD7078,Rice Bag,Grocery,North,Louisiana,Norrisborough,10,4898,15,41633,34179.04,7453.96,UPI,Returned,Young and Sons,asanchez@gonzalez-walker.biz,36,No,0
ORD1057,14-01-2025,21-01-2025,Jonathan Travis,CUST987,Corporate,PROD2197,office chair,Furniture,South,Maine,Robertmouth,10,931,20,7448,6534.49,913.51,Net Banking,Delivered,Adams-Fleming,khendricks@lawrence-benton.org,44,No,0
ORD1058,08-01-2024,12-01-2024,Ryan Jackson,CUST856,Corporate,PROD9265,Bookshelf,Furniture,North,New Jersey,Hunterville,7,1189,15,7074.55,6215.04,859.51,Cash,Cancelled,"Cardenas, Roberts and Hill",nathan97@cain-peters.com,43,No,0
ORD1059,29-11-2024,04-12-2024,Karla Petty,CUST208,Corporate,PROD6726,laptop,Electronics,North,Illinois,Karaton,2,4922,5,9351.8,7404.1,1947.7,Net Banking,Returned,"Baldwin, Durham and Graham",jeffery47@henry-martinez.com,37,No,0
ORD1060,10-05-2024,13-05-2024,Nicole Henderson,CUST769,Corporate,PROD1835,office chair,Furniture,North,Nebraska,Port Cynthia,8,229,10,1648.8,1254.75,394.05,Cash,Delivered,"Pope, Randolph and Harding",kingedward@lamb-young.com,10,No,0
ORD1061,05-08-2025,11-08-2025,Angela Thompson,CUST284,Consumer,PROD6157,Juice Pack,Grocery,West,Nebraska,Port Lucasview,10,148,15,1258,817.49,440.51,UPI,Returned,"Garcia, Deleon and Harris",holly91@proctor-williams.com,16,No,0
ORD1062,30-06-2025,05-07-2025,Krystal Valenzuela,CUST661,Corporate,PROD4388,Dining Table,Furniture,South,North Carolina,South Staceyland,3,1087,20,2608.8,1673.2,935.6,Net Banking,Delivered,Jones and Sons,margaret46@clark.com,41,No,0
ORD1063,08-02-2025,15-02-2025,Tracy Davenport,CUST610,Corporate,PROD1496,stapler,Office Supplies,North,Wisconsin,North Dawnview,4,1437,0,5748,5060.01,687.99,Cash,Cancelled,Leonard Ltd,herrerajenny@frost-hudson.com,23,No,0
ORD1064,15-09-2024,16-09-2024,Tammy Harrison,CUST916,Consumer,PROD3219,Sofa,Furniture,South,Oregon,West Deborahville,2,1709,20,2734.4,2255.24,479.16,Net Banking,Pending,Kaufman Inc,wthompson@clay.com,47,No,0
ORD1065,10-08-2025,13-08-2025,Todd Taylor DDS,CUST659,Corporate,PROD7668,notebook,Office Supplies,West,Connecticut,New Erik,7,2591,20,14509.6,10500.51,4009.09,Credit Card,Pending,Montoya-Turner,stephenmaldonado@adams-douglas.com,18,No,0
ORD1066,06-12-2023,10-12-2023,Alicia Miller,CUST901,Consumer,PROD7212,stapler,Office Supplies,North,Arkansas,South Annabury,5,4373,5,20771.75,15363.86,5407.89,Credit Card,Delivered,Price PLC,sday@webb.com,11,No,0
ORD1067,02-03-2025,06-03-2025,Matthew Parker,CUST549,Consumer,PROD7374,notebook,Office Supplies,East,Oregon,Patriciafort,7,4719,5,31381.35,21701.02,9680.33,Credit Card,Delivered,"Dyer, Miller and Moore",rita70@daniel.com,8,Yes,49
ORD1068,02-03-2024,07-03-2024,Samuel Glover,CUST167,Consumer,PROD6828,keyboard,Electronics,South,Pennsylvania,Christopherburgh,3,3141,15,8009.55,6809.52,1200.03,Net Banking,Cancelled,Lawson-Gonzalez,jonessamantha@wilson.info,47,No,0
ORD1069,08-09-2024,10-09-2024,Jeremy Haynes,CUST776,Home Office,PROD7201,Sofa,Furniture,North,Pennsylvania,North Barbaraside,8,4136,15,28124.8,23518.31,4606.49,Net Banking,Delivered,Stevens-Smith,kathyford@armstrong.com,10,No,0
ORD1070,21-05-2024,28-05-2024,Veronica Williams,CUST986,Home Office,PROD8804,office chair,Furniture,South,Ohio,West Richardland,7,4857,0,33999,25897.4,8101.6,Credit Card,Cancelled,Frazier-Myers,danielknight@campbell.com,43,No,0
ORD1071,16-07-2024,19-07-2024,Robert Miller,CUST395,Home Office,PROD7294,pen,Office Supplies,East,New Hampshire,New Rogerbury,8,3122,0,24976,19066.44,5909.56,Net Banking,Delivered,Mcgee LLC,clarkcaroline@goodwin.com,10,No,0
ORD1072,15-08-2025,17-08-2025,Ruth Ibarra,CUST779,Corporate,PROD8924,Juice Pack,Grocery,West,Connecticut,North Paul,10,2472,10,22248,18553.22,3694.78,Cash,Delivered,Strong-Perry,kevin02@bartlett-thompson.net,40,No,0
ORD1073,15-08-2024,19-08-2024,John Cameron,CUST563,Consumer,PROD5383,File Folder,Office Supplies,South,West Virginia,Murraystad,1,626,15,532.1,342.78,189.32,Net Banking,Delivered,"Obrien, Mcfarland and Brown",debraharris@buchanan.com,29,No,0
ORD1074,20-06-2025,22-06-2025,Joseph Williams,CUST278,Consumer,PROD6638,calculator,Office Supplies,East,Wyoming,New Josephchester,7,2934,20,16430.4,13523.55,2906.85,UPI,Cancelled,"Robinson, Strong and Morton",cynthia04@heath-douglas.com,35,No,0
ORD1075,09-12-2024,13-12-2024,Mark Dixon,CUST421,Home Office,PROD6031,Bookshelf,Furniture,South,Alabama,North Stephanieside,2,1085,10,1953,1667.97,285.03,Credit Card,Returned,"King, Chan and Tate",matthewhorne@le.biz,36,No,0
ORD1076,25-12-2024,30-12-2024,Terrance Jones,CUST184,Consumer,PROD7784,Rice Bag,Grocery,South,Wyoming,West Andreton,6,4506,20,21628.8,14701.23,6927.57,UPI,Cancelled,Sanchez LLC,lucasdavis@nichols-avery.com,38,No,0
ORD1077,14-11-2025,20-11-2025,Amanda Knapp,CUST455,Corporate,PROD5326,office chair,Furniture,West,Massachusetts,Wayneborough,8,3549,5,26972.4,20051.82,6920.58,Net Banking,Cancelled,"Garcia, Smith and Sanchez",drakedouglas@robinson.info,13,No,0
ORD1078,03-07-2024,04-07-2024,Ashley Bowers,CUST258,Home Office,PROD8077,File Folder,Office Supplies,South,Delaware,Mckeeview,2,935,10,1683,1393.93,289.07,Cash,Delivered,Ryan LLC,hawkinsdiana@reyes.info,40,No,0
ORD1079,06-12-2024,13-12-2024,Denise Peterson,CUST560,Consumer,PROD4748,Cooking Oil,Grocery,East,Delaware,Zacharyland,1,2731,20,2184.8,1315.67,869.13,UPI,Delivered,"Sanchez, Kerr and Yu",benjamin58@adams.com,25,No,0
ORD1080,06-06-2025,13-06-2025,Wanda Washington,CUST590,Consumer,PROD5526,monitor,Electronics,North,Hawaii,East Cheryl,9,825,0,7425,4659.85,2765.15,Cash,Delivered,Velez-Ibarra,iowens@whitaker.org,5,Yes,68
ORD1081,27-09-2024,30-09-2024,Shelby Robinson,CUST756,Home Office,PROD8774,laptop,Electronics,West,South Dakota,Lake James,7,4767,10,30032.1,23997.28,6034.82,Net Banking,Returned,"Alexander, Hunt and Garcia",daughertyroberto@conrad.com,18,No,0
ORD1082,05-02-2024,07-02-2024,Kim White,CUST916,Home Office,PROD1723,Juice Pack,Grocery,East,Alaska,Mendozaborough,1,3140,15,2669,2022.55,646.45,Cash,Cancelled,Moore PLC,edwardpeck@taylor.com,3,Yes,64
ORD1083,23-01-2024,26-01-2024,Autumn Hale,CUST252,Home Office,PROD3081,pen,Office Supplies,West,California,Port Francisberg,3,4819,5,13734.15,10761.85,2972.3,Credit Card,Returned,White-Smith,nina51@alvarado.com,23,No,0
ORD1084,04-02-2025,09-02-2025,Ryan Vaughn,CUST479,Home Office,PROD7636,Snacks,Grocery,West,Kansas,Beverlytown,10,3122,10,28098,20086.7,8011.3,Net Banking,Returned,"Smith, Drake and Stevenson",richard19@smith.net,48,No,0
ORD1085,09-05-2024,14-05-2024,Mia Johnston,CUST666,Home Office,PROD7415,Study Table,Furniture,South,Oregon,Travishaven,1,2278,10,2050.2,1601.9,448.3,Cash,Cancelled,Roy and Sons,ecarpenter@ayala.com,11,No,0
ORD1086,23-12-2023,28-12-2023,Danielle Jones,CUST153,Consumer,PROD2103,mouse,Electronics,East,Oregon,West Ronald,7,3637,0,25459,19691.42,5767.58,Net Banking,Pending,"Mendoza, Holmes and Garcia",durannatasha@wells-jordan.com,16,No,0
ORD1087,26-10-2024,01-11-2024,Jasmine Rogers,CUST376,Corporate,PROD7155,office chair,Furniture,North,Tennessee,Kristashire,9,1845,5,15774.75,11777.6,3997.15,Credit Card,Returned,"Harvey, Howard and Graham",millerchristopher@york-jackson.com,44,No,0
ORD1088,17-02-2025,21-02-2025,Jesus Love,CUST156,Corporate,PROD1944,Juice Pack,Grocery,North,Wisconsin,Garciaside,7,4009,0,28063,16865.3,11197.7,UPI,Returned,Foster-Calderon,joseph14@marsh.info,29,No,0
ORD1089,10-02-2025,15-02-2025,Elizabeth Reed,CUST943,Home Office,PROD4726,pen,Office Supplies,South,Washington,Pittmanborough,1,4820,20,3856,2460.78,1395.22,Credit Card,Returned,Hammond Inc,uoliver@bradley.com,24,No,0
ORD1090,23-06-2024,29-06-2024,Cheryl Gonzalez,CUST572,Home Office,PROD9317,calculator,Office Supplies,North,West Virginia,Nicolefort,8,3375,10,24300,17137.19,7162.81,UPI,Pending,Martinez Ltd,devin60@lopez-warner.com,19,No,0
ORD1091,17-04-2024,18-04-2024,Zachary Foster,CUST956,Corporate,PROD6450,calculator,Office Supplies,North,Arizona,Port Christopherborough,10,461,15,3918.5,3274.39,644.11,Credit Card,Delivered,"Hanna, Harrison and Garner",julie08@jones.org,11,No,0
ORD1092,15-03-2024,21-03-2024,Vincent Miller,CUST400,Corporate,PROD3478,mouse,Electronics,West,Arizona,Jeremybury,10,1210,15,10285,6623.8,3661.2,UPI,Delivered,Bishop LLC,sandy02@avila.com,9,Yes,30
ORD1093,19-03-2025,26-03-2025,Derrick Rodriguez,CUST361,Consumer,PROD4929,laptop,Electronics,North,Vermont,Jessicaton,8,3934,20,25177.6,17855.86,7321.74,Cash,Pending,Reed-Walker,amberskinner@mccarthy.com,8,Yes,93
ORD1094,28-03-2024,31-03-2024,Lynn Cherry,CUST957,Consumer,PROD8113,Dining Table,Furniture,North,Illinois,Richfurt,3,1486,15,3789.3,3130.51,658.79,Credit Card,Cancelled,Hopkins-Brock,torresmichael@hoffman-brooks.com,42,No,0
ORD1095,17-07-2025,23-07-2025,Tina Stein,CUST878,Consumer,PROD4573,mouse,Electronics,West,Florida,North Oliviatown,5,2003,20,8012,7088.35,923.65,Cash,Pending,Woods Group,kimberlyhicks@brown.info,12,No,0
ORD1096,26-08-2024,02-09-2024,Ernest Cline,CUST400,Corporate,PROD3132,laptop,Electronics,North,Arkansas,North Robertville,6,1237,0,7422,5667.19,1754.81,Credit Card,Pending,Bell Inc,gibbskevin@hickman-williams.com,27,No,0
ORD1097,26-09-2025,02-10-2025,Allison Owen,CUST899,Home Office,PROD3698,mouse,Electronics,East,Hawaii,Gravesmouth,5,2441,0,12205,10873.78,1331.22,Net Banking,Returned,"Heath, Ayers and Johnson",dianamora@duncan.info,48,No,0
ORD1098,04-09-2025,09-09-2025,Claire Knapp,CUST368,Home Office,PROD4185,Sugar,Grocery,North,Kansas,East Gregoryfort,3,2385,0,7155,4813.96,2341.04,Credit Card,Returned,Parker-Garrett,gilesjessica@flores-hill.com,5,Yes,93
ORD1099,07-03-2025,14-03-2025,Mrs. Annette Perry,CUST584,Corporate,PROD7179,pen,Office Supplies,West,Maine,Lake Michaelfort,3,616,10,1663.2,1474.68,188.52,Credit Card,Returned,Hess and Sons,lambcalvin@brown.info,8,Yes,55
ORD1100,18-12-2024,25-12-2024,Brandon York,CUST497,Home Office,PROD2346,Cooking Oil,Grocery,South,North Carolina,Burchburgh,6,2984,20,14323.2,8856.46,5466.74,UPI,Cancelled,Brewer-Lucero,jonescathy@long.com,14,No,0
ORD1101,01-09-2025,03-09-2025,Melinda King,CUST548,Consumer,PROD1415,stapler,Office Supplies,West,Tennessee,New John,7,3510,15,20884.5,15099.76,5784.74,Net Banking,Delivered,Whitehead-Sandoval,tuckermadison@stewart.org,45,No,0
ORD1102,29-10-2024,31-10-2024,Pamela Lopez,CUST852,Consumer,PROD3123,monitor,Electronics,West,Kansas,Soniaview,5,4308,0,21540,18208.43,3331.57,UPI,Pending,"Peters, Bonilla and Booth",emily53@daniel.org,46,No,0
ORD1103,26-12-2024,29-12-2024,Anthony Wilson,CUST115,Consumer,PROD2468,Sugar,Grocery,West,Vermont,West James,3,2684,15,6844.2,4321.21,2522.99,UPI,Delivered,Clark-Wells,virginiacortez@aguirre.org,50,No,0
ORD1104,16-08-2024,18-08-2024,Stephen Moore,CUST138,Home Office,PROD8388,office chair,Furniture,East,Maine,Jenniferburgh,5,180,15,765,642.77,122.23,UPI,Returned,Small LLC,benjamin59@hall.com,13,No,0
ORD1105,16-10-2024,19-10-2024,Rebecca Tucker,CUST454,Home Office,PROD5632,Dining Table,Furniture,East,Kansas,Port Wendy,1,4737,0,4737,3219.76,1517.24,Net Banking,Cancelled,Young PLC,smithautumn@crawford.com,28,No,0
